# Measured census of guard branches with zero corpus instances.
# Regenerate, per repo: scripts/dead-guard-scan.py --repo <path> --census <this file>
# 🔴 out-of-instrument rows are NOT a clean result -- they are guards this tool
#    CANNOT see. A repo's absence from this file is not evidence about it.
# 🔴 A flag has THREE readings and only two are defects: dead code, an untested
#    reporting branch, or a branch driven through a subprocess. See
#    scripts/lib/dead_guard.py. Adjudicating them is a human's job.
repo_slug	status	location	kind	case_handled	corpus_instances	justification
innovation-upstream/devrc	flagged	scripts/claude-hooks/tests/test_guard_core.py:2492	if-body	execs.append(argv)	0	-
innovation-upstream/devrc	flagged	scripts/testlib/captured_text_scan.py:143	if-body	sys.path.insert(0, str(_HERE.parent))	0	-
innovation-upstream/devrc	flagged	scripts/testlib/captured_text_scan.py:451	if-body	esc = False	0	-
innovation-upstream/devrc	flagged	scripts/testlib/captured_text_scan.py:453	if-body	esc = True	0	-
innovation-upstream/devrc	flagged	scripts/testlib/captured_text_scan.py:469	if-body	i += 2	0	-
innovation-upstream/devrc	flagged	scripts/testlib/captured_text_scan.py:495	except	return None	0	-
innovation-upstream/devrc	flagged	scripts/testlib/captured_text_scan.py:523	if-body	return []	0	-
innovation-upstream/devrc	flagged	scripts/testlib/client_host_scan.py:206	except	pass	0	-
innovation-upstream/devrc	flagged	scripts/testlib/client_host_scan.py:216	if-body	continue	0	-
innovation-upstream/devrc	flagged	scripts/testlib/launcher_scan.py:73	except	continue	0	— unreadable file
innovation-upstream/devrc	flagged	scripts/testlib/launcher_scan.py:101	if-body	return True	0	-
innovation-upstream/devrc	flagged	scripts/testlib/launcher_scan.py:218	except	continue	0	— a broken test file fails elsewhere
innovation-upstream/devrc	flagged	scripts/testlib/launcher_scan.py:251	except	continue	0	— a broken test file fails elsewhere
innovation-upstream/devrc	flagged	scripts/testlib/launcher_scan.py:258	if-body	continue	0	-
innovation-upstream/devrc	flagged	scripts/testlib/launcher_scan.py:289	if-body	continue	0	-
innovation-upstream/devrc	flagged	scripts/testlib/launcher_scan.py:293	except	continue	0	-
innovation-upstream/devrc	flagged	scripts/testlib/public_ip_scan.py:211	except	pass  # fall through to the walk	0	-
innovation-upstream/devrc	flagged	scripts/testlib/public_ip_scan.py:235	if-body	continue	0	-
innovation-upstream/devrc	flagged	scripts/testlib/skills_mapping.py:119	if-body	return f"nix-instantiate is not on PATH, {_FIX_IT}"	0	-
innovation-upstream/devrc	flagged	scripts/tests/test_clawgate_predicate_single_source.py:133	except	return False	0	-
innovation-upstream/devrc	flagged	scripts/tests/test_clawgate_predicate_single_source.py:252	except	continue	0	-
innovation-upstream/devrc	flagged	scripts/tests/test_clawgate_predicate_single_source.py:254	if-body	offenders[rel] = hits	0	-
innovation-upstream/devrc	flagged	scripts/tests/test_clawgate_predicate_single_source.py:277	if-body	wrong.append("%s: file is gone (expected %d)" % (rel, expected))	0	-
innovation-upstream/devrc	flagged	scripts/tests/test_clawgate_predicate_single_source.py:281	if-body	wrong.append("%s: expected %d, found %d at line(s) %s"	0	-
innovation-upstream/devrc	flagged	scripts/tests/test_clawgate_predicate_single_source.py:313	if-body	offenders.append("%s:%d %s" % (rel, i, line.strip()))	0	-
innovation-upstream/devrc	flagged	scripts/tests/test_clawgate_predicate_single_source.py:375	except	return False	0	-
innovation-upstream/devrc	flagged	scripts/tests/test_clawgate_predicate_single_source.py:489	if-body	return	0	-
innovation-upstream/devrc	flagged	scripts/tests/test_closing_condition_single_source.py:124	except	continue	0	-
